timestamp,Torque_Nm
2025-01-01 00:01:08,95.61934943122714
2025-01-01 00:04:10,99.17994206496095
2025-01-01 00:07:52,95.92778914700703
2025-01-01 00:12:11,102.6707733732822
2025-01-01 00:15:48,
2025-01-01 00:19:28,108.81889157043524
2025-01-01 00:21:54,118.1867447186382
2025-01-01 00:24:58,112.71420629836868
2025-01-01 00:31:25,108.4023877652146
2025-01-01 00:38:26,128.17427443790407
2025-01-01 00:42:23,119.2930751895913
2025-01-01 00:45:37,125.75908507956623
2025-01-01 00:52:36,128.0981545514294
2025-01-01 00:54:32,
2025-01-01 00:57:46,129.95708027318992
2025-01-01 01:06:36,132.67121039989664
2025-01-01 01:12:24,124.52522488785952
2025-01-01 01:19:11,125.74964672564596
2025-01-01 01:21:49,124.11003999649547
2025-01-01 01:30:15,
2025-01-01 01:33:10,135.44487450587013
2025-01-01 01:35:13,134.60616676003087
2025-01-01 01:38:43,134.99564896445148
2025-01-01 01:44:22,140.26827619467983
2025-01-01 01:50:05,
2025-01-01 01:56:58,132.4785114304075
2025-01-01 02:05:03,134.76516983891122
2025-01-01 02:10:58,120.20734064048258
2025-01-01 02:13:19,142.62589077026445
2025-01-01 02:15:31,137.77038218392994
2025-01-01 02:17:20,130.94192247112628
2025-01-01 02:19:56,125.01359255219774
2025-01-01 02:24:57,128.9694000722039
2025-01-01 02:28:15,125.97785300602746
2025-01-01 02:34:13,
2025-01-01 02:38:10,131.81664031364798
2025-01-01 02:45:12,126.8951114375573
2025-01-01 02:48:39,120.16258244495988
2025-01-01 02:53:52,116.59581429020432
2025-01-01 02:59:39,121.45061311064175
2025-01-01 03:01:39,112.93754876459452
2025-01-01 03:05:05,115.02972224620213
2025-01-01 03:10:48,117.72280919696703
2025-01-01 03:16:03,101.19639994557583
2025-01-01 03:18:06,106.49250407243356
2025-01-01 03:28:59,98.08640935247064
2025-01-01 03:33:33,96.8101195614394
2025-01-01 03:40:07,108.47771004158275
2025-01-01 03:43:01,89.03190171542538
2025-01-01 03:45:13,104.31264519962764
2025-01-01 03:47:33,94.50589610273757
2025-01-01 03:51:15,96.40344837079044
2025-01-01 03:52:42,84.87204230413255
